score	jaccard	support	nameMatch	descMatch	lostSymbol	gainedSymbol
1.169	0.585	38	true	false	net/minecraft/data/loot/LootTableProvider$SubProviderEntry#<init>(Ljava/util/function/Supplier;Lnet/minecraft/world/level/storage/loot/parameters/LootContextParamSet;)V	net/minecraft/data/loot/BlockLootSubProvider#<init>(Ljava/util/Set;Lnet/minecraft/world/flag/FeatureFlagSet;Lnet/minecraft/core/HolderLookup$Provider;)V
1.168	0.584	59	true	false	net/minecraftforge/network/simple/SimpleChannel#sendToServer(Ljava/lang/Object;)V	net/neoforged/neoforge/network/PacketDistributor#sendToServer(Lnet/minecraft/network/protocol/common/custom/CustomPacketPayload;[Lnet/minecraft/network/protocol/common/custom/CustomPacketPayload;)V
1.167	0.583	42	true	false	net/minecraft/data/recipes/ShapelessRecipeBuilder#unlockedBy(Ljava/lang/String;Lnet/minecraft/advancements/CriterionTriggerInstance;)Lnet/minecraft/data/recipes/ShapelessRecipeBuilder;	net/minecraft/data/recipes/ShapedRecipeBuilder#unlockedBy(Ljava/lang/String;Lnet/minecraft/advancements/Criterion;)Lnet/minecraft/data/recipes/ShapedRecipeBuilder;
1.152	0.576	72	true	false	net/minecraftforge/registries/DeferredRegister#create(Lnet/minecraftforge/registries/IForgeRegistry;Ljava/lang/String;)Lnet/minecraftforge/registries/DeferredRegister;	net/neoforged/neoforge/registries/DeferredRegister#create(Lnet/minecraft/core/Registry;Ljava/lang/String;)Lnet/neoforged/neoforge/registries/DeferredRegister;
1.151	0.443	54	true	true	net/minecraftforge/api/distmarker/Dist#CLIENT:Lnet/minecraftforge/api/distmarker/Dist;	net/neoforged/api/distmarker/Dist#CLIENT:Lnet/neoforged/api/distmarker/Dist;
1.143	0.571	40	true	false	net/minecraft/data/tags/ItemTagsProvider#<init>(Lnet/minecraft/data/PackOutput;Ljava/util/concurrent/CompletableFuture;Ljava/util/concurrent/CompletableFuture;Ljava/lang/String;Lnet/minecraftforge/common/data/ExistingFileHelper;)V	net/neoforged/neoforge/common/data/BlockTagsProvider#<init>(Lnet/minecraft/data/PackOutput;Ljava/util/concurrent/CompletableFuture;Ljava/lang/String;Lnet/neoforged/neoforge/common/data/ExistingFileHelper;)V
1.138	0.569	33	true	false	net/minecraft/data/loot/LootTableProvider#<init>(Lnet/minecraft/data/PackOutput;Ljava/util/Set;Ljava/util/List;)V	net/neoforged/neoforge/client/model/generators/BlockStateProvider#<init>(Lnet/minecraft/data/PackOutput;Ljava/lang/String;Lnet/neoforged/neoforge/common/data/ExistingFileHelper;)V
1.133	0.567	136	true	false	net/minecraft/resources/ResourceLocation#<init>(Ljava/lang/String;Ljava/lang/String;)V	net/minecraft/network/protocol/common/custom/CustomPacketPayload$Type#<init>(Lnet/minecraft/resources/ResourceLocation;)V
1.127	0.563	40	true	false	net/minecraftforge/common/data/BlockTagsProvider#<init>(Lnet/minecraft/data/PackOutput;Ljava/util/concurrent/CompletableFuture;Ljava/lang/String;Lnet/minecraftforge/common/data/ExistingFileHelper;)V	net/minecraft/data/loot/LootTableProvider#<init>(Lnet/minecraft/data/PackOutput;Ljava/util/Set;Ljava/util/List;Ljava/util/concurrent/CompletableFuture;)V
1.117	0.430	64	true	true	net/minecraftforge/common/ForgeConfigSpec$IntValue#get()Ljava/lang/Object;	net/neoforged/neoforge/registries/DeferredHolder#get()Ljava/lang/Object;
1.114	0.557	117	true	false	net/minecraft/resources/ResourceLocation#<init>(Ljava/lang/String;)V	net/minecraft/network/protocol/common/custom/CustomPacketPayload$Type#<init>(Lnet/minecraft/resources/ResourceLocation;)V
1.112	0.695	41	false	true	net/minecraftforge/fluids/capability/IFluidHandler$FluidAction#EXECUTE:Lnet/minecraftforge/fluids/capability/IFluidHandler$FluidAction;	net/neoforged/neoforge/fluids/capability/IFluidHandler$FluidAction#SIMULATE:Lnet/neoforged/neoforge/fluids/capability/IFluidHandler$FluidAction;
