absentbydesign-1.20.1-1.9.0	CLEAN	0
ad_astra-forge-1.20.1-1.15.20	ERRORS	6
additional_lights	CLEAN	0
additionallanterns-1.1.2-forge-mc1.20.2	CLEAN	0
addonslib-1.20.1-1.5	CLEAN	0
advgenerators-1.6.0.6-mc1.20.1	CLEAN	0
ae2insertexportcard-1.20.1-1.3.0	CLEAN	0
ae2wtlib	CLEAN	0
aether	ERRORS	19
aiotbotania-1.20.1-4.0.6	CLEAN	0
alchemistry-1.20.1-2.3.4	ERRORS	1
alchemylib-1.20.1-1.0.30	ERRORS	1
allthearcanistgear	CLEAN	0
allthecompressed	CLEAN	0
alltheleaks	CLEAN	0
allthemodium	ERRORS	1
alltheores	CLEAN	0
allthetweaks	CLEAN	0
allthewizardgear	CLEAN	0
almostunified	CLEAN	0
amendments	ERRORS	2
angelring-1.20.1-2.3.1	CLEAN	0
appleskin	CLEAN	0
applied-botanics-forge-1.5.1	CLEAN	0
ae2	ERRORS	5
architectury	CLEAN	0
ars_creo	CLEAN	0
ars_elemental	ERRORS	4
ars_nouveau	ERRORS	14
ars_ocultas	CLEAN	0
arseng	CLEAN	0
artifacts	CLEAN	0
athena	ERRORS	1
balm	CLEAN	0
bhc	CLEAN	0
bdlib-1.27.0.8-mc1.20.1	ERRORS	1
betterp2p-1.5.0-forge	ERRORS	1
blockui	CLEAN	0
bloodmagic-1.20.1-3.3.3-45	ERRORS	7
blue_skies-1.20.1-1.3.31	ERRORS	10
blueflame	CLEAN	0
botarium-forge-1.20.1-2.3.4	ERRORS	2
buildinggadgets2	ERRORS	3
bwncr	CLEAN	0
cabletiers	CLEAN	0
caelus	CLEAN	0
caupona-1.20.1-0.4.13	ERRORS	2
computercraft	ERRORS	2
cc-tweaked-1.20.1-forge-1.116.1	ERRORS	4
cfm-forge-1.20.1-7.0.0-pre36	ERRORS	2
charginggadgets	CLEAN	0
charmofundying-forge-6.5.0_1.20.1	CLEAN	0
chemlib-1.20.1-2.0.19	ERRORS	1
chipped	CLEAN	0
cleanswing	CLEAN	0
clickadv-1.20.1-3.8	CLEAN	0
cloth_config	CLEAN	0
cofh_core-1.20.1-11.0.2.56	ERRORS	7
colorfulhearts	CLEAN	0
colorwheel	CLEAN	0
comforts	CLEAN	0
configuration-forge-1.20.1-3.1.0	CLEAN	0
connectedglass	ERRORS	1
connectivity	ERRORS	1
constructionwand-1.20.1-2.11	CLEAN	0
cookingforblockheads	ERRORS	1
corail_woodcutter-1.20.1-3.0.6	CLEAN	0
corn_delight-1.1.9-1.20.1	CLEAN	0
cosmeticarmorreworked	CLEAN	0
crafting_on_a_stick	CLEAN	0
craftingtweaks	ERRORS	1
crashutilities	ERRORS	2
create	ERRORS	12
create-new-age-forge-1.20.1-1.1.4	CLEAN	0
create_enchantment_industry	CLEAN	0
create_jetpack-forge-4.4.2	ERRORS	1
createaddition	CLEAN	0
createoreexcavation-1.20-1.6.4	CLEAN	0
creeperoverhaul	ERRORS	1
cristellib	CLEAN	0
crystalix	ERRORS	1
cupboard	ERRORS	1
curios	CLEAN	0
dankstorage-forge-1.20.1-15	ERRORS	3
deeperdarker	ERRORS	9
deepresonance-1.20-5.0.4	ERRORS	1
domum_ornamentum	CLEAN	0
durabilitytooltip-1.1.6-forge-mc1.20	CLEAN	0
dyenamics	ERRORS	2
dyenamicsandfriends	CLEAN	0
easy_villagers	CLEAN	0
