architectury	ERRORS	16
ars_additions-1.21.1-21.3.0	ERRORS	10
ars_controle-1.21.1-1.6.15	ERRORS	6
ars_creo	ERRORS	4
ars_elemancy-1.21.1-1.18.3	ERRORS	2
ars_elemental	ERRORS	13
ars_nouveau	ERRORS	55
ars_ocultas	ERRORS	6
ars_polymorphia-1.0.3	ERRORS	3
ars_technica-1.21.1-2.7.6	ERRORS	10
ars_unification-1.2.19	ERRORS	6
arseng	ERRORS	1
artifacts	ERRORS	20
athena	ERRORS	1
atlas_api-1.21.1-1.2.0	ERRORS	1
attributefix	CLEAN	0
balm	ERRORS	16
bhc	ERRORS	7
bellsandwhistles-0.4.7-1.21.1	CLEAN	0
bcc	CLEAN	0
bibliobiomes-1.21.1-1.6.1	ERRORS	1
bibliocraft-1.21.1-1.6.5	ERRORS	22
bibliowoods-1.21.1-1.6.2	ERRORS	1
blockui	ERRORS	13
blueflame	ERRORS	2
bookshelf	ERRORS	10
botanypots	ERRORS	11
botanypotsmystical-neoforge-1.21.1-21.1.12	ERRORS	1
botanytrees	CLEAN	0
buildinggadgets2	ERRORS	12
bwncr	ERRORS	1
cabletiers	ERRORS	10
caelus	ERRORS	2
camol-1.21.1-0.3.1	ERRORS	8
catjammies-1.21-1.7.1	CLEAN	0
computercraft	ERRORS	22
cc-tweaked-1.21.1-forge-1.120.0	ERRORS	26
charginggadgets	ERRORS	6
chipped	ERRORS	3
chisel-neoforge-2.0.1_mc1.21.1	ERRORS	2
chromacarvings-1.21.1-0.2.0	ERRORS	1
cleanswing	CLEAN	0
cloth_config	CLEAN	0
cobblegengalore-1.21.1-0.2.9	ERRORS	1
cobweb-neoforge-1.21-1.4.0	ERRORS	1
colorfulhearts	CLEAN	0
colorwheel	ERRORS	1
colorwheel_patcher-neoforge-1.0.5_mc1.21.1	CLEAN	0
comforts	ERRORS	3
commoncapabilities	ERRORS	13
compactmachines-neoforge-7.0.81	ERRORS	10
connectedglass	ERRORS	1
connectivity	ERRORS	4
cookingforblockheads	ERRORS	6
cosmeticarmorreworked	ERRORS	4
crafting_on_a_stick	ERRORS	2
craftingtweaks	ERRORS	4
crashutilities	ERRORS	5
create	ERRORS	69
create_enchantment_industry	ERRORS	21
create_aquatic_ambitions-1.21.1-2.0.4	ERRORS	7
create_hypertube-0.6.0-NEOFORGE	ERRORS	3
createaddition	ERRORS	13
cristellib	ERRORS	2
cryonicconfig-neoforge-1.0.0_mc1.21.11	CLEAN	0
crystalix	ERRORS	6
cupboard	ERRORS	2
curios	ERRORS	13
cyclopscore	ERRORS	28
darkmodeeverywhere	ERRORS	2
deeperdarker	ERRORS	23
deimos-1.21.1-neoforge-2.7	ERRORS	2
disenchanting_table-merged-1.21.1-5.0.2	ERRORS	26
domum_ornamentum	ERRORS	10
drippyloadingscreen_neoforge_3.1.5_MC_1.21.1	CLEAN	0
dummmmmmy-neoforge-1.21-2.1.0	ERRORS	3
dyenamics	ERRORS	9
dyenamicsandfriends	ERRORS	3
dysoncubeproject-1.0.5	ERRORS	5
easy_villagers	ERRORS	10
elevatorid	ERRORS	5
enchdesc-neoforge-1.21.1-21.1.10	ERRORS	1
enderdrives-neoforge-1.21.1-1.4.4	ERRORS	7
enderio	ERRORS	54
endermanoverhaul	ERRORS	6
energymeter	ERRORS	5
entangled	ERRORS	2
eternalstarlight-0.8.1_1.21.1_neoforge	ERRORS	42
everythingcopper	ERRORS	8
evilcraft	ERRORS	23
expandedae-2.1.1	ERRORS	2
experiencelib-1.21.1-1.2.1	ERRORS	1
extended-industrialization-1.15.45-1.21.1	ERRORS	19
factory_blocks-neoforge-1.4.0_mc1.21.1	CLEAN	0
fancymenu_neoforge_3.9.9_MC_1.21.1	ERRORS	18
farmingforblockheads	ERRORS	5
ferritecore	CLEAN	0
fireproofboats-1.21.1-1.0.4	ERRORS	1
flickerfix	CLEAN	0
forbidden_arcanus	ERRORS	14
formations-1.0.4-neoforge-mc1.21	CLEAN	0
formationsnether-1.0.5a-mc1.21_	ERRORS	3
formationsoverworld-1.0.5a-mc1.21_	ERRORS	3
framework-neoforge-1.21.1-0.13.11	ERRORS	16
ftbchunks	ERRORS	2
ftbessentials	ERRORS	1
ftb-filter-system-neoforge-21.1.4	ERRORS	3
ftb-jei-extras-21.1.7	CLEAN	0
ftblibrary	ERRORS	6
ftbquests	ERRORS	8
ftbranks	CLEAN	0
ftbteams	ERRORS	2
ftbultimine	ERRORS	1
ftbxmodcompat	ERRORS	1
ftbquestslangsplitter-1.0.6	CLEAN	0
fuelgoeshere	CLEAN	0
functionalstorage	ERRORS	15
fusion	ERRORS	3
fzzy_config-0.7.6_1.21_neoforge	ERRORS	10
geckolib	ERRORS	6
generatorgalore	ERRORS	12
getittogetherdrops	ERRORS	1
guideme	ERRORS	12
handcrafted	ERRORS	2
hardenedarmadillos-1.21.1-0.2.0	CLEAN	0
herbsandharvest-1.21.1-17	ERRORS	8
heyberryshutup-1.21.0-2.0.4	CLEAN	0
iceandfire-2.0-beta.17	ERRORS	14
illagerwarship-1.0.1-neoforge-1.21.1	ERRORS	1
imfast-NEOFORGE-1.0.2	CLEAN	0
incontrol-1.21-10.2.6	ERRORS	5
industrialforegoingsouls	ERRORS	1
industrialforegoing	ERRORS	26
industrialization_overdrive-1.12.1_1.21.1	CLEAN	0
integratedcrafting	ERRORS	7
integrateddynamics	ERRORS	16
integratedscripting-1.21.1-neoforge-1.0.24-416	ERRORS	2
integratedterminals	ERRORS	5
integratedtunnels	ERRORS	9
interdimensionalwirelesstransmitter-neoforge-1.21.1-0.1.5	ERRORS	4
invasiveopts-1.0.22	ERRORS	4
invtweaks	ERRORS	5
iris-neoforge-1.8.14-beta.1_mc1.21.1	ERRORS	5
ironfurnaces	ERRORS	9
irons_jewelry-1.21.1-2.0.2	ERRORS	10
irons_lib-1.21.1-2.1.0	ERRORS	4
irons_spellbooks	ERRORS	34
itemcollectors	CLEAN	0
jearchaeology	ERRORS	3
jei	ERRORS	17
journeymap	ERRORS	5
jumpboat	CLEAN	0
jupiter-2.3.7-1.21.1-neoforge	ERRORS	5
justdirethings-1.5.7	ERRORS	38
justenoughbreeding-neoforge-1.21.1-3.2.1	ERRORS	3
justzoom	CLEAN	0
keybindbundles-1.4.0	ERRORS	6
konkrete	CLEAN	0
kotlinforforge-5.12.0-all	CLEAN	0
kubejs	ERRORS	71
kubejstweaks-1.0.6	CLEAN	0
laserbridges-1.21.1-neoforge-5.3	CLEAN	0
laserio	ERRORS	17
lionfishapi	ERRORS	1
lithostitched	ERRORS	9
little-big-redstone-1.9.8-1.21.1	ERRORS	16
livingthings-neoforge-1.21.1-2.3.0	ERRORS	2
lmft-1.1.1_1.21.9-neoforge	CLEAN	0
lootr	ERRORS	13
luminax-1.3.1_neoforge_1.21.1	ERRORS	1
mahoutsukai	ERRORS	26
mcjtylib	ERRORS	21
mcwbridges	CLEAN	0
mcwdoors	CLEAN	0
mcwfurnitures	ERRORS	2
mcw-holidays-1.1.2-mc1.21.1neoforge	CLEAN	0
mcwlights	CLEAN	0
mcwfences	CLEAN	0
mcwpaths	CLEAN	0
mcw-mcwstairs-1.0.2-mc1.21.1neoforge	CLEAN	0
mcwwindows	CLEAN	0
mcwroofs	CLEAN	0
mcwtrpdoors	CLEAN	0
megacells	ERRORS	3
mekanismcovers-1.3-BETA_1.21	ERRORS	5
mekanisticrouters-1.2.0	ERRORS	1
mekmm-1.21.1-1.3.3	ERRORS	13
melody_neoforge_1.0.10_MC_1.21	ERRORS	1
memorysettings	CLEAN	0
merequester	ERRORS	2
merrymaking-1.21.1-16	ERRORS	6
mffs-5.4.44	ERRORS	15
mifa-neoforge-1.21.x-2.1.0	ERRORS	1
minecolonies	ERRORS	35
mininggadgets	ERRORS	12
mob_grinding_utils	ERRORS	14
modelfix	CLEAN	0
modernfix	ERRORS	10
modonomicon	ERRORS	13
modularrouters	ERRORS	21
monolib-neoforge-1.21.1-4.1.0	ERRORS	1
moogs_structures-neoforge-1.21.1-3.0.3	ERRORS	1
moonlight	ERRORS	39
moredragoneggs	CLEAN	0
moreoverlays	CLEAN	0
morered	ERRORS	7
mostructures-neoforge-1.6.0_1.21.1	ERRORS	1
multipiston	CLEAN	0
netherportalfix	CLEAN	0
not_enough_glyphs-1.21.1-4.6.1	ERRORS	5
notenoughanimations-neoforge-1.12.4-mc1.21.1	CLEAN	0
novillagerdm	CLEAN	0
observable	ERRORS	2
occultism	ERRORS	45
occultism_kubejs-1.21.1-neoforge-1.11.0	ERRORS	2
omegaconfig-neoforge-1.5.1	ERRORS	1
oracle_index-neoforge-1.3.1	ERRORS	1
oritech-neoforge-1.21.1-1.2.10	ERRORS	18
overloadedarmorbar-neoforge-1.21-2	CLEAN	0
owo-lib-neoforge-0.12.15.5-beta.1_1.21	ERRORS	18
pamhc2crops-NEOFORGE-1.21.1-1.0.9	ERRORS	2
pamhc2foodcore-NEOFORGE-1.21.1-1.0.4	CLEAN	0
pamhc2foodextended-NEOFORGE-1.21.1-1.0.0	CLEAN	0
pamhc2trees-NEOFORGE-1.21.1-1.0.9	ERRORS	2
pipez	ERRORS	14
playeranimator	CLEAN	0
pneumaticcraft	ERRORS	57
pocketstorage-1.2.5_1.21.1-b3	ERRORS	5
polyeng	ERRORS	1
polylib-2100.1.0-build.183-neoforge	ERRORS	4
polymorph	ERRORS	6
ponderjs	ERRORS	1
potionsmaster	ERRORS	2
prickle-neoforge-1.21.1-21.1.11	CLEAN	0
productivebees	ERRORS	31
productivemetalworks-1.21.1-1.15.0	ERRORS	18
productivetrees	ERRORS	15
pylons	ERRORS	10
railcraft	ERRORS	42
rangedpumps	ERRORS	2
reap-neoforge-1.21.1-1.1.2	ERRORS	8
rebind_narrator-1.21.1-neoforge-2025.12.23	CLEAN	0
rechiseled	ERRORS	1
rechiseled_chipped-2.0-1.21.1	CLEAN	0
rechiseledcreate	CLEAN	0
redstonepen-1.21-neoforge-1.11.42	ERRORS	5
refined-types-1.21.1-0.3.2	ERRORS	8
refinedstorage-curios-integration-1.0.0	CLEAN	0
refinedstorage-jei-integration-neoforge-1.0.0	CLEAN	0
refinedstorage-mekanism-integration-1.1.1	ERRORS	1
refinedstorage	ERRORS	18
refinedstorage-quartz-arsenal-neoforge-1.0.8	ERRORS	3
