side	modId	displayName	version	loader	tier	classes	forgeRefs	neoRefs	mixinConfigs	mixinClasses	hasAT	hasCoremod	nestedJars	sizeKB	file
source	allthemodium	Allthemodium	2.5.6	FORGE	HARD	176	100	0	1	1	true	false	0	1770	allthemodium-1.20.1-47.1.25-2.5.6.jar
source	alltheores	AllTheOres	2.2.4	FORGE	TRIVIAL	39	18	0	0	0	true	false	0	1048	alltheores-1.20.1-47.1.3-2.2.4.jar
source	allthetweaks	AllTheTweaks	2.3.2	FORGE	HARD	80	22	0	1	5	true	false	0	4702	allthetweaks-1.20.1-47.2.20-2.3.2.jar
source	allthewizardgear	All The Wizard Gear	1.20.1-1.1.4	FORGE	HARD	18	15	0	1	1	false	false	0	117	allthewizardgear-1.20.1-1.1.4.jar
source	almostunified	AlmostUnified	1.20.1-0.10.1	FORGE	HARD	111	2	0	1	8	false	false	0	212	almostunified-forge-1.20.1-0.10.1.jar
source	amendments	Amendments	1.20-2.2.3	FORGE	NIGHTMARE	250	9	0	2	54	true	false	0	1262	amendments-1.20-2.2.3.jar
source	angelring	Angel Ring 2	2.2.3	FORGE	TRIVIAL	35	32	0	0	0	false	false	0	116	angelring-1.20.1-2.3.1.jar
source	apotheosis	Apotheosis	7.4.8	FORGE	NIGHTMARE	522	213	0	1	31	true	true	0	2738	Apotheosis-1.20.1-7.4.8.jar
source	appbot	Applied Botanics	1.5.1	FORGE	HARD	57	10	0	1	4	false	false	0	241	applied-botanics-forge-1.5.1.jar
source	appflux	AppliedFlux	1.20-1.3.4-forge	FORGE	HARD	82	27	0	2	15	false	false	0	244	AppliedFlux-1.20-1.3.4-forge.jar
source	appleskin	AppleSkin	2.5.1+mc1.20.1	FORGE	TRIVIAL	29	13	0	0	0	false	false	0	46	appleskin-forge-mc1.20.1-2.5.1.jar
source	appmek	Applied Mekanistics	1.4.2	FORGE	TRIVIAL	74	43	0	0	0	false	false	0	174	Applied-Mekanistics-1.4.2.jar
source	aquaculture	Aquaculture 2	2.5.5	FORGE	TRIVIAL	120	76	0	0	0	true	false	0	587	Aquaculture-1.20.1-2.5.5.jar
source	architectury	Architectury	9.2.14	FORGE	HARD	382	131	0	2	19	true	false	0	566	architectury-9.2.14-forge.jar
source	ars_creo	Ars Creo	4.3.0	FORGE	TRIVIAL	32	17	0	1	0	false	false	0	70	ars_creo-1.20.1-4.3.0.jar
source	ars_elemental	Ars Elemental	0.6.7.8	FORGE	HARD	273	138	0	1	15	true	false	0	1546	ars_elemental-1.20.1-0.6.7.8.jar
source	ars_nouveau	Ars Nouveau	4.12.7	FORGE	NIGHTMARE	1465	543	0	1	32	true	false	2	12138	ars_nouveau-1.20.1-4.12.7-all.jar
source	ars_ocultas	Ars Ocultas	1.2.2	FORGE	TRIVIAL	31	21	0	0	0	true	false	1	209	ars_ocultas-1.20.1-1.2.2-all.jar
source	arseng	Ars Énergistique	1.2.0	FORGE	HARD	55	29	0	1	9	false	false	0	143	arseng-1.2.0.jar
source	artifacts	Artifacts	9.5.16	FORGE	HARD	177	17	0	2	24	true	false	0	830	artifacts-forge-9.5.16.jar
source	athena	Athena	3.1.2	FORGE	HARD	52	7	0	2	2	false	false	0	89	athena-forge-1.20.1-3.1.2.jar
source	attributefix	AttributeFix	21.0.4	FORGE	HARD	9	2	0	1	1	false	false	0	19	AttributeFix-Forge-1.20.1-21.0.4.jar
source	attributeslib	Apothic Attributes	1.3.7	FORGE	NIGHTMARE	112	31	0	1	17	true	true	0	222	ApothicAttributes-1.20.1-1.3.7.jar
source	balm	Balm	7.3.37	FORGE	HARD	399	62	0	1	16	false	false	1	576	balm-forge-1.20.1-7.3.37-all.jar
source	bambooeverything	Bamboo Everything	3.0.3+mc1.20.1	FORGE	TRIVIAL	14	1	0	0	0	true	false	0	171	BambooEverything-forge-3.0.3+mc1.20.1.jar
source	bcc	Better Compatibility Checker	4.0.8	FORGE	HARD	20	5	0	2	6	false	false	0	25	BetterCompatibilityChecker-forge-4.0.8+mc1.20.1.jar
source	bdlib	BdLib	1.27.0.8	FORGE	HARD	579	187	0	0	5	false	false	0	1229	bdlib-1.27.0.8-mc1.20.1.jar
